Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
1,Gakr,Blood Elf,Rogue,Pickle Palace,Horde,Illidan,US,,Subtlety,13575.50
2,Syltburken,Void Elf,Rogue,Sick Six Stack,Alliance,Sylvanas,EU,,Subtlety,13528.10
3,Yungtortolan,Pandaren,Rogue,Autumn,Horde,Kil'Jaeden,US,,Outlaw,13475.60
4,Thyminde,Blood Elf,Hunter,This is Fine,Horde,Ragnaros,EU,,Survival,13471.50
5,Курэм,Void Elf,Rogue,Эксодия,Alliance,Гордунни,EU,RU,Subtlety,13433.10
6,Cerit,Blood Elf,Monk,Error Code,Horde,Burning Legion,EU,,Windwalker,13429.60
7,Saryero,Undead,Rogue,Severed,Horde,Gorgonnash,EU,DE,Outlaw,13412.20
8,Distorted,Void Elf,Rogue, ,,Silvermoon,EU,,Outlaw,13411.50
9,Jermac,Void Elf,Rogue,Elevenfold,Alliance,Stormrage,US,,Outlaw,13407.40
10,Shánkd,Blood Elf,Rogue,Hoax,Horde,Kazzak,EU,,Subtlety,13402.50
11,Doomstab,Human,Rogue,So Toxic,Alliance,Dun Modr,EU,ES,Subtlety,13384.40
12,Greph,Undead,Rogue,Clique,Horde,Draenor,EU,,Subtlety,13382.70
13,Hanrake,Blood Elf,Rogue,Practice Makes Per..,Horde,Burning Legion,EU,,Subtlety,13356.30
14,Treedyr,Blood Elf,Rogue,Hypocrisy,Horde,Twisting Nether,EU,,Subtlety,13351.10
15,Джераа,Human,Rogue,У беляша,Alliance,Гордунни,EU,RU,Outlaw,13298.10
16,Yani,Blood Elf,Rogue,Naga stole my wife,Horde,Frostwolf,EU,DE,Subtlety,13296.10
17,Daggz,Blood Elf,Rogue,Melee Mechanics,Horde,Illidan,US,,Subtlety,13295.50
18,Envenoms,Undead,Rogue,MRK,Horde,Kazzak,EU,,Outlaw,13294.90
19,Metzlì,Dwarf,Rogue,Betrayal,Alliance,Frostmourne,OC,,Subtlety,13286.50
20,Sìlk,Orc,Rogue,Blacklisted,Horde,Kil'Jaeden,US,,Outlaw,13280.10
21,Smullpirate,Blood Elf,Rogue, ,,Hyjal,US,,Subtlety,13277.30
