Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
1,Bhî,Tauren,Monk,MRK,Horde,Kazzak,EU,,Windwalker,13586.90
2,Gakr,Blood Elf,Rogue, ,Horde,Illidan,US,,Subtlety,13573.10
3,Sinrogue,Blood Elf,Rogue,Tsu,Horde,Tichondrius,US,,Outlaw,13542.40
4,Yungtortolan,Pandaren,Rogue,Autumn,Horde,Kil'Jaeden,US,,Outlaw,13490.70
5,Коляванклифф,Blood Elf,Rogue,Тайга,Horde,Ясеневый лес,EU,RU,Outlaw,13486.60
6,Syltburken,Void Elf,Rogue,Sick Six Stack,Alliance,Sylvanas,EU,,Subtlety,13469.30
7,Thyminde,Blood Elf,Hunter,This is Fine,Horde,Ragnaros,EU,,Survival,13468.20
8,Cerit,Blood Elf,Monk,Error Code,Horde,Burning Legion,EU,,Windwalker,13464.10
9,Курэм,Void Elf,Rogue,Эксодия,Alliance,Гордунни,EU,RU,Subtlety,13433.10
10,Distorted,Void Elf,Rogue, ,Alliance,Silvermoon,EU,,Outlaw,13430.30
11,Saryero,Undead,Rogue,Severed,Horde,Gorgonnash,EU,DE,Outlaw,13426.90
12,Genj,Blood Elf,Rogue,Blue Label,Horde,Barthilas,OC,,Subtlety,13405.50
13,Jermac,Void Elf,Rogue,Elevenfold,Alliance,Stormrage,US,,Outlaw,13404.90
14,Monkfull,Blood Elf,Monk,Immune,Horde,Sanguino,EU,ES,Windwalker,13403.70
15,Imawizardxd,Troll,Warlock,Error Code,Horde,Burning Legion,EU,,Affliction,13400.80
16,Shánkd,Blood Elf,Rogue,Hoax,Horde,Kazzak,EU,,Subtlety,13398.30
17,Fenkov,Troll,Rogue,Error Code,Horde,Burning Legion,EU,,Outlaw,13381.40
18,Doomstab,Human,Rogue,So Toxic,Alliance,Dun Modr,EU,ES,Subtlety,13378.60
19,Deímas,Troll,Warlock,Bloom,Horde,Draenor,EU,,Affliction,13369.90
20,Deidia,Void Elf,Rogue,Myth,Alliance,Blackmoore,EU,DE,Subtlety,13349.10
21,Danyo,Blood Elf,Rogue, ,Horde,Argent Dawn,US,,Subtlety,13343.30
22,Matawoer,Blood Elf,Rogue,Rise,Horde,Zul'jin,US,,Outlaw,13341.20
23,Эдминяша,Void Elf,Rogue,Там Разберёмся,Alliance,Гордунни,EU,RU,Subtlety,13322.80
24,Envenoms,Undead,Rogue,MRK,Horde,Kazzak,EU,,Outlaw,13302.80
25,Treedyr,Blood Elf,Rogue,Hypocrisy,Horde,Twisting Nether,EU,,Subtlety,13299.80
26,Джераа,Human,Rogue,У беляша,Alliance,Гордунни,EU,RU,Outlaw,13298.10
27,Yani,Blood Elf,Rogue,Naga stole my wife,Horde,Frostwolf,EU,DE,Subtlety,13296.10
28,Viprr,Human,Rogue,Dispøsed,Alliance,Frostmourne,OC,,Outlaw,13292.80
29,Rèdcliffe,Void Elf,Rogue,Nova Gravity,Alliance,Well of Eternity,EU,,Subtlety,13290.60
30,Metzlì,Dwarf,Rogue,Alliance Lives Mat..,Alliance,Zuluhed,US,,Subtlety,13288.10
31,Metzlì,Dwarf,Rogue, ,Alliance,Frostmourne,OC,,Subtlety,13286.50
32,Jenlogx,Blood Elf,Rogue,Ex Elysium,Horde,Kult der Verdammten,EU,DE,Subtlety,13284.60
33,Sìlk,Orc,Rogue,Blacklisted,Horde,Kil'Jaeden,US,,Outlaw,13280.10
